description,category
NEFT CR-177508325406-RENTAL INCOME,Income
POS DEBIT 182065389134 CASHWITHDRAWAL,Withdrawals
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/647059032260/JIOMART,Groceries
UPI/P2M/406616675433/UDEMY,Education
POS DEBIT 878322934242 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/109626549445/UDEMY,Education
POS DEBIT 434713459733 MUTUALFUNDSIP,Investments
POS DEBIT 268540195229 DOMINOSPIZZA,Food & Drinks
UPI/P2M/827753251396/ZEPTO,Groceries
UPI/P2M/314817124160/AMAZON,Shopping
UPI/P2M/926097399132/ZARA,Shopping
UPI/P2M/915452950117/MYPROTEIN,Health & Fitness
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 135915692942 UNIVERSITYFEES,Education
POS DEBIT 578530774166 CULTFIT,Health & Fitness
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 618782663304 DOMINOSPIZZA,Food & Drinks
UPI/P2M/751526549511/GOIBIBO,Travel & Transport
POS DEBIT 426806573581 REDBUS,Travel & Transport
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/995606309055/GROWW,Investments
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 583312613707 MUTUALFUNDSIP,Investments
POS DEBIT 983020496014 RELIANCEDIGITAL,Shopping
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/858755961712/ZERODHA,Investments
UPI/P2M/624548766577/BSNL,Bills & Utilities
POS DEBIT 642898778759 UNIVERSITYFEES,Education
POS DEBIT 806981349468 UNIVERSITYFEES,Education
NEFT CR-182009259040-RENTAL INCOME,Income
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 719157905533 CASHWITHDRAWAL,Withdrawals
POS DEBIT 280646588384 MUTUALFUNDSIP,Investments
UPI/P2M/695016700586/NETFLIX.COM,Entertainment
POS DEBIT 951468851884 DOMINOSPIZZA,Food & Drinks
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 681682704208 CASHWITHDRAWAL,Withdrawals
NEFT CR-962818243700-FREELANCE PAYMENT,Income
UPI/P2M/235179914265/AMAZON,Shopping
UPI/P2M/824286982615/ZOMATO,Food & Drinks
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 116556647727 PRIMEVIDEO,Entertainment
POS DEBIT 475773514631 LOCALSUPERMARKET,Groceries
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/832663816109/JIOMART,Groceries
UPI/P2M/199933212972/MYPROTEIN,Health & Fitness
POS DEBIT 360625490098 LOCALSUPERMARKET,Groceries
UPI/P2M/356512466478/BOOKMYSHOW,Entertainment
UPI/P2M/699210221996/NETFLIX.COM,Entertainment
UPI/P2M/523631867991/COURSERA,Education
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 599907764812 MUTUALFUNDSIP,Investments
POS DEBIT 307684163918 BANKCHARGES,Miscellaneous
POS DEBIT 579411798375 CASHWITHDRAWAL,Withdrawals
POS DEBIT 275289769360 CULTFIT,Health & Fitness
UPI/P2M/334203506492/GROWW,Investments
NEFT CR-474912630266-RENTAL INCOME,Income
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/801921531400/FLIPKART,Shopping
UPI/P2M/896464641605/UDEMY,Education
UPI/P2M/568845944063/MAKEMYTRIP,Travel & Transport
POS DEBIT 747908471030 PVRCINEMAS,Entertainment
UPI/P2M/732836919574/UBER,Travel & Transport
UPI/P2M/224557422952/JIOMART,Groceries
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
NEFT CR-262467933772-RENTAL INCOME,Income
POS DEBIT 318945522998 THEBEERCAFE,Food & Drinks
UPI/P2M/983451485680/ZEPTO,Groceries
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/339358695193/MYPROTEIN,Health & Fitness
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 227517111270 CASHWITHDRAWAL,Withdrawals
NEFT CR-895597089683-RENTAL INCOME,Income
UPI/P2M/948996700888/BIGBASKET,Groceries
POS DEBIT 647664272748 PVRCINEMAS,Entertainment
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
NEFT CR-949929554519-RENTAL INCOME,Income
UPI/P2M/962701113835/MYPROTEIN,Health & Fitness
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/984073923775/GIFT,Miscellaneous
UPI/P2M/399163258085/MYPROTEIN,Health & Fitness
POS DEBIT 726559958811 CASHWITHDRAWAL,Withdrawals
UPI/P2M/914410909435/BIGBASKET,Groceries
POS DEBIT 697991230007 CASHWITHDRAWAL,Withdrawals
UPI/P2M/834598369767/UDEMY,Education
UPI/P2M/117159424466/BIGBASKET,Groceries
UPI/P2M/289457783128/AMAZON,Shopping
POS DEBIT 570962388719 DOMINOSPIZZA,Food & Drinks
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/898757797850/ZEPTO,Groceries
UPI/P2M/785817188436/GROWW,Investments
POS DEBIT 775417888520 CASHWITHDRAWAL,Withdrawals
UPI/P2M/892245124736/STARBUCKS,Food & Drinks
POS DEBIT 437129790301 REDBUS,Travel & Transport
POS DEBIT 917172531229 LOCALGYM,Health & Fitness
UPI/P2M/978311508476/GROWW,Investments
POS DEBIT 200779854796 MUTUALFUNDSIP,Investments
UPI/P2M/676491725691/ZERODHA,Investments
UPI/P2M/530364075031/SWIGGY,Food & Drinks
POS DEBIT 220734579613 CASHWITHDRAWAL,Withdrawals
POS DEBIT 788600355694 CULTFIT,Health & Fitness
UPI/P2M/900155650478/ZOMATO,Food & Drinks
POS DEBIT 637376761128 LOCALGYM,Health & Fitness
POS DEBIT 947744928435 CASHWITHDRAWAL,Withdrawals
NEFT CR-305378969601-SALARY CREDIT,Income
POS DEBIT 976372636539 CASHWITHDRAWAL,Withdrawals
POS DEBIT 929444501456 CASHWITHDRAWAL,Withdrawals
UPI/P2M/150337031319/ZEPTO,Groceries
POS DEBIT 429610386360 PRIMEVIDEO,Entertainment
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 704809923561 PVRCINEMAS,Entertainment
UPI/P2M/198157422925/SWIGGY,Food & Drinks
POS DEBIT 682042035842 PRIMEVIDEO,Entertainment
POS DEBIT 651585632686 LOCALGYM,Health & Fitness
UPI/P2M/353297135410/UPSTOX,Investments
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 856937486164 OLACABS,Travel & Transport
POS DEBIT 516428841517 THEBEERCAFE,Food & Drinks
UPI/P2M/158780507797/ZERODHA,Investments
UPI/P2M/964614113051/STARBUCKS,Food & Drinks
UPI/P2M/213465949654/STARBUCKS,Food & Drinks
POS DEBIT 534075880145 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 590033276772 APOLLOPHARMACY,Health & Fitness
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/817920594272/JIOMART,Groceries
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 784418797094 CASHWITHDRAWAL,Withdrawals
UPI/P2M/246563520445/ZOMATO,Food & Drinks
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 805257797475 CULTFIT,Health & Fitness
UPI/P2M/318464372875/ZEPTO,Groceries
POS DEBIT 624728378113 RELIANCEDIGITAL,Shopping
UPI/P2M/207263118475/JIOMART,Groceries
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 885541435542 APOLLOPHARMACY,Health & Fitness
POS DEBIT 578530774166 CULTFIT,Health & Fitness
NEFT CR-939998356916-SALARY CREDIT,Income
POS DEBIT 424785335178 ELECTRICITYBOARD,Bills & Utilities
NEFT CR-533674009475-FREELANCE PAYMENT,Income
POS DEBIT 530949087734 PVRCINEMAS,Entertainment
POS DEBIT 777602315577 CASHWITHDRAWAL,Withdrawals
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/865861363719/ZOMATO,Food & Drinks
POS DEBIT 918144974607 LOCALSUPERMARKET,Groceries
UPI/P2M/557191612305/BIGBASKET,Groceries
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
NEFT CR-929451019796-FREELANCE PAYMENT,Income
POS DEBIT 251432241088 CASHWITHDRAWAL,Withdrawals
UPI/P2M/579867518559/MYNTRA,Shopping
NEFT CR-357525990052-FREELANCE PAYMENT,Income
POS DEBIT 741253629500 MISCPURCHASE,Miscellaneous
UPI/P2M/243957642081/SWIGGY,Food & Drinks
UPI/P2M/359357161070/ZOMATO,Food & Drinks
POS DEBIT 206118037617 REDBUS,Travel & Transport
UPI/P2M/219317806608/SWIGGY,Food & Drinks
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/633194715740/MAKEMYTRIP,Travel & Transport
UPI/P2M/582826099997/NETFLIX.COM,Entertainment
UPI/P2M/816076356983/MYNTRA,Shopping
POS DEBIT 317773047147 LOCALGYM,Health & Fitness
UPI/P2M/442733157736/STARBUCKS,Food & Drinks
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
UPI/P2M/633342979988/BOOKMYSHOW,Entertainment
NEFT CR-752661429062-RENTAL INCOME,Income
NEFT CR-581773932158-RENTAL INCOME,Income
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
POS DEBIT 422510019826 APOLLOPHARMACY,Health & Fitness
UPI/P2M/788034853190/ZERODHA,Investments
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 152025351377 CASHWITHDRAWAL,Withdrawals
POS DEBIT 455688406444 UNIVERSITYFEES,Education
UPI/P2M/476143223602/GIFT,Miscellaneous
UPI/P2M/524759098378/GROWW,Investments
UPI/P2M/186949758144/UPSTOX,Investments
POS DEBIT 611523969425 DOMINOSPIZZA,Food & Drinks
UPI/P2M/765390607399/GOIBIBO,Travel & Transport
UPI/P2M/843615868859/ZEPTO,Groceries
NEFT CR-487866303724-FREELANCE PAYMENT,Income
UPI/P2M/387114271180/ZARA,Shopping
POS DEBIT 190232689011 UNIVERSITYFEES,Education
POS DEBIT 900105781208 BANKCHARGES,Miscellaneous
POS DEBIT 521866008816 UNIVERSITYFEES,Education
POS DEBIT 309431986435 CASHWITHDRAWAL,Withdrawals
POS DEBIT 266866860267 MUTUALFUNDSIP,Investments
POS DEBIT 989071206295 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/864964197582/NETFLIX.COM,Entertainment
POS DEBIT 581343329282 CASHWITHDRAWAL,Withdrawals
POS DEBIT 771489098472 LOCALGYM,Health & Fitness
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 396084435401 CASHWITHDRAWAL,Miscellaneous
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 913867572713 VODAFONEIDEA,Bills & Utilities
POS DEBIT 331758065659 LOCALSUPERMARKET,Groceries
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/443901886371/UDEMY,Education
POS DEBIT 690513300663 CASHWITHDRAWAL,Withdrawals
POS DEBIT 025256608602 MUTUALFUNDSIP,Investments
POS DEBIT 943208983911 LOCALGYM,Health & Fitness
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/477522954144/BIGBASKET,Groceries
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/374837733279/UPSTOX,Investments
UPI/P2M/588475149117/BIGBASKET,Groceries
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
POS DEBIT 786480524541 CASHWITHDRAWAL,Withdrawals
UPI/P2M/629353748401/COURSERA,Education
UPI/P2M/566526429535/UDEMY,Education
UPI/P2M/606219361106/UPSTOX,Investments
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 199655041169 REDBUS,Travel & Transport
NEFT CR-238215222459-FREELANCE PAYMENT,Income
POS DEBIT 923015582404 OLACABS,Travel & Transport
POS DEBIT 128479107291 MISCPURCHASE,Miscellaneous
POS DEBIT 586985810437 INDIANRAILWAYS,Travel & Transport
POS DEBIT 706613284336 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 600327911013 UNIVERSITYFEES,Education
UPI/P2M/435389393128/FLIPKART,Shopping
UPI/P2M/603354563657/GROWW,Investments
UPI/P2M/564680389334/ZEPTO,Groceries
UPI/P2M/812688327280/STARBUCKS,Food & Drinks
UPI/P2M/161923950609/BOOKMYSHOW,Entertainment
UPI/P2M/903707401138/MYPROTEIN,Health & Fitness
POS DEBIT 358262937423 LOCALGYM,Health & Fitness
POS DEBIT 571885069140 OLACABS,Travel & Transport
NEFT CR-384695989154-FREELANCE PAYMENT,Income
UPI/P2M/923309793546/UDEMY,Education
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/907443315881/UDEMY,Education
POS DEBIT 190221951820 OLACABS,Travel & Transport
POS DEBIT 708674012757 INDIANRAILWAYS,Travel & Transport
POS DEBIT 476694993786 REDBUS,Travel & Transport
UPI/P2M/450912057809/ZEPTO,Groceries
UPI/P2M/484427829481/JIOMART,Groceries
POS DEBIT 934974993339 CASHWITHDRAWAL,Withdrawals
NEFT CR-890917450137-SALARY CREDIT,Income
POS DEBIT 889967076769 MUTUALFUNDSIP,Investments
UPI/P2M/745887680601/BIGBASKET,Groceries
UPI/P2M/267886004505/COURSERA,Education
POS DEBIT 143521240987 RELIANCEDIGITAL,Shopping
NEFT CR-779943947059-SALARY CREDIT,Income
UPI/P2M/453522278977/ZEPTO,Groceries
UPI/P2M/341148212168/BOOKMYSHOW,Entertainment
POS DEBIT 577464799945 UNIVERSITYFEES,Education
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/495165706703/NETFLIX.COM,Entertainment
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 416002179868 REDBUS,Travel & Transport
UPI/P2M/445734338607/BIGBASKET,Groceries
UPI/P2M/506475751693/BOOKMYSHOW,Entertainment
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 736897686520 LOCALSUPERMARKET,Groceries
UPI/P2M/474368265442/MYPROTEIN,Health & Fitness
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/934775154465/UPSTOX,Investments
POS DEBIT 559996127311 OLACABS,Travel & Transport
POS DEBIT 147207507775 OLACABS,Travel & Transport
POS DEBIT 550755267758 RELIANCEDIGITAL,Shopping
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/370283172602/NETFLIX.COM,Entertainment
POS DEBIT 471442107518 LOCALSUPERMARKET,Groceries
UPI/P2M/527873323207/GROWW,Investments
POS DEBIT 395921103277 RELIANCEDIGITAL,Shopping
UPI/P2M/368848833176/GIFT,Miscellaneous
POS DEBIT 145054663221 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/409270142649/BLINKIT,Groceries
NEFT CR-833922597510-FREELANCE PAYMENT,Income
UPI/P2M/855093187395/NETFLIX.COM,Entertainment
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
POS DEBIT 119405323769 REDBUS,Travel & Transport
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/538982154056/GOIBIBO,Travel & Transport
POS DEBIT 870734569776 LOCALSUPERMARKET,Groceries
POS DEBIT 158369384756 CASHWITHDRAWAL,Withdrawals
UPI/P2M/468031570800/BOOKMYSHOW,Entertainment
POS DEBIT 719208192540 THEBEERCAFE,Food & Drinks
POS DEBIT 484957022083 LOCALSUPERMARKET,Groceries
UPI/P2M/440005961127/ZEPTO,Groceries
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/229395705738/COURSERA,Education
POS DEBIT 170278925787 PRIMEVIDEO,Entertainment
UPI/P2M/215315336490/JIOMART,Groceries
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 139323612387 CULTFIT,Health & Fitness
UPI/P2M/552094434802/ZERODHA,Investments
POS DEBIT 700394967287 LOCALGYM,Health & Fitness
POS DEBIT 556406550970 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/751375847530/AMAZON,Shopping
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 262811937508 OLACABS,Travel & Transport
UPI/P2M/512865203306/MYPROTEIN,Health & Fitness
UPI/P2M/988322237329/UBER,Travel & Transport
UPI/P2M/716687943354/BOOKMYSHOW,Entertainment
UPI/P2M/811611613405/H&M,Shopping
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/328990876215/BOOKMYSHOW,Entertainment
UPI/P2M/710252577254/FLIPKART,Shopping
UPI/P2M/847483084699/SWIGGY,Food & Drinks
POS DEBIT 245766036979 DOMINOSPIZZA,Food & Drinks
NEFT CR-320564050804-RENTAL INCOME,Income
NEFT CR-800726108109-RENTAL INCOME,Income
POS DEBIT 441040304912 DOMINOSPIZZA,Food & Drinks
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/130603525018/MYNTRA,Shopping
POS DEBIT 519143857323 PRIMEVIDEO,Entertainment
UPI/P2M/638984636485/BLINKIT,Groceries
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 855912886763 APOLLOPHARMACY,Health & Fitness
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 380766253624 OLACABS,Travel & Transport
UPI/P2M/921741200646/FLIPKART,Shopping
POS DEBIT 437705243332 CULTFIT,Health & Fitness
POS DEBIT 858717578292 MUTUALFUNDSIP,Investments
UPI/P2M/845003293556/MYPROTEIN,Health & Fitness
UPI/P2M/145321219914/COURSERA,Education
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/301818242148/GROWW,Investments
POS DEBIT 963453074551 VODAFONEIDEA,Bills & Utilities
UPI/P2M/636254230190/NETFLIX.COM,Entertainment
POS DEBIT 899847864014 CASHWITHDRAWAL,Withdrawals
POS DEBIT 800183970725 CULTFIT,Health & Fitness
UPI/P2M/510069768467/MCDONALDS,Food & Drinks
POS DEBIT 103258474038 PVRCINEMAS,Entertainment
POS DEBIT 703289921912 BANKCHARGES,Miscellaneous
NEFT CR-319703501611-FREELANCE PAYMENT,Income
UPI/P2M/770857438048/MYPROTEIN,Health & Fitness
UPI/P2M/666436684870/AIRTEL,Bills & Utilities
UPI/P2M/283283976924/AMAZON,Shopping
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/384618081127/JIOMART,Groceries
POS DEBIT 966521999237 RELIANCEDIGITAL,Shopping
POS DEBIT 594778580896 MUTUALFUNDSIP,Investments
POS DEBIT 856144868478 CASHWITHDRAWAL,Withdrawals
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/476627370733/ZEPTO,Groceries
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/519154665058/ZERODHA,Investments
UPI/P2M/490192974456/COURSERA,Education
UPI/P2M/950937357131/ZERODHA,Investments
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
NEFT CR-978769754132-FREELANCE PAYMENT,Income
UPI/P2M/188393542019/COURSERA,Education
UPI/P2M/699349605125/BOOKMYSHOW,Entertainment
POS DEBIT 660169867550 PRIMEVIDEO,Entertainment
POS DEBIT 701529004761 RELIANCEDIGITAL,Shopping
NEFT CR-283034482381-SALARY CREDIT,Income
UPI/P2M/833012068873/SWIGGY,Food & Drinks
POS DEBIT 542487299810 LOCALGYM,Health & Fitness
UPI/P2M/159261686418/GOIBIBO,Travel & Transport
POS DEBIT 255455868340 CASHWITHDRAWAL,Withdrawals
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/520294815356/GROWW,Investments
POS DEBIT 653471303937 CASHWITHDRAWAL,Withdrawals
POS DEBIT 704232822718 CASHWITHDRAWAL,Withdrawals
POS DEBIT 270384258381 RELIANCEDIGITAL,Shopping
POS DEBIT 544041818554 REDBUS,Travel & Transport
UPI/P2M/942350509032/ZERODHA,Investments
POS DEBIT 485272635013 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/431974779022/COURSERA,Education
POS DEBIT 487726275297 REDBUS,Travel & Transport
UPI/P2M/262320369697/AIRTEL,Bills & Utilities
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/648969861625/JIOMART,Groceries
POS DEBIT 738305070918 PVRCINEMAS,Entertainment
POS DEBIT 212594333948 INDIANRAILWAYS,Travel & Transport
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/747974987554/BOOKMYSHOW,Entertainment
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
NEFT CR-784729160352-RENTAL INCOME,Income
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/170621225698/ZERODHA,Investments
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/214010923244/ZERODHA,Investments
POS DEBIT 122492844986 OLACABS,Travel & Transport
UPI/P2M/523530460836/MAKEMYTRIP,Travel & Transport
UPI/P2M/834711933011/ZOMATO,Food & Drinks
POS DEBIT 128077889985 DOMINOSPIZZA,Food & Drinks
POS DEBIT 542259099472 CASHWITHDRAWAL,Withdrawals
POS DEBIT 813360500653 OLACABS,Travel & Transport
POS DEBIT 366248370483 MUTUALFUNDSIP,Investments
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/185550935147/BOOKMYSHOW,Entertainment
UPI/P2M/487560565602/BOOKMYSHOW,Entertainment
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/525340273975/AMAZON,Shopping
NEFT CR-598633388835-SALARY CREDIT,Income
UPI/P2M/599924355150/BSNL,Bills & Utilities
NEFT CR-650971421145-SALARY CREDIT,Income
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 169892055416 INDIANRAILWAYS,Travel & Transport
POS DEBIT 557484761187 LOCALSUPERMARKET,Groceries
POS DEBIT 243399186555 CULTFIT,Health & Fitness
POS DEBIT 408139563249 CASHWITHDRAWAL,Withdrawals
NEFT CR-871152909538-SALARY CREDIT,Income
NEFT CR-287706093166-SALARY CREDIT,Income
NEFT CR-423328494562-RENTAL INCOME,Income
POS DEBIT 926722402862 RELIANCEDIGITAL,Shopping
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/332463503761/MYNTRA,Shopping
POS DEBIT 646938790850 UNIVERSITYFEES,Education
POS DEBIT 283134640246 LOCALGYM,Health & Fitness
UPI/P2M/134291466903/MAKEMYTRIP,Travel & Transport
POS DEBIT 153542769920 CASHWITHDRAWAL,Withdrawals
POS DEBIT 711137518987 CULTFIT,Health & Fitness
UPI/P2M/599355319186/ZERODHA,Investments
POS DEBIT 107427450631 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 211444906630 CASHWITHDRAWAL,Withdrawals
NEFT CR-488595467356-FREELANCE PAYMENT,Income
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/391525521735/BOOKMYSHOW,Entertainment
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/804261274532/COURSERA,Education
POS DEBIT 248968830232 CASHWITHDRAWAL,Withdrawals
POS DEBIT 666395664685 DOMINOSPIZZA,Food & Drinks
UPI/P2M/857070809145/UDEMY,Education
POS DEBIT 441924047220 RELIANCEDIGITAL,Shopping
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
UPI/P2M/571808382205/UDEMY,Education
UPI/P2M/232654290274/NETFLIX.COM,Entertainment
UPI/P2M/013913237104/GIFT,Miscellaneous
NEFT CR-451240912356-FREELANCE PAYMENT,Income
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 981056693719 UNIVERSITYFEES,Education
UPI/P2M/380125933949/UDEMY,Education
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/955286678956/AMAZON,Shopping
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/548183170412/NETFLIX.COM,Entertainment
UPI/P2M/137303932733/JIOMART,Groceries
NEFT CR-667320188737-SALARY CREDIT,Income
UPI/P2M/676137260859/GOIBIBO,Travel & Transport
POS DEBIT 878515738490 DOMINOSPIZZA,Food & Drinks
POS DEBIT 619169068301 LOCALGYM,Health & Fitness
UPI/P2M/838315060979/ZEPTO,Groceries
POS DEBIT 883280760404 BANKCHARGES,Miscellaneous
UPI/P2M/715403376577/JIOMART,Groceries
UPI/P2M/774990582207/COURSERA,Education
POS DEBIT 966259685879 PRIMEVIDEO,Entertainment
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 383365121578 PRIMEVIDEO,Entertainment
UPI/P2M/184051861411/JIOMART,Groceries
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/803663655815/NETFLIX.COM,Entertainment
UPI/P2M/909563540406/FLIPKART,Shopping
POS DEBIT 379074976351 CASHWITHDRAWAL,Withdrawals
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/295858409430/FLIPKART,Shopping
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
UPI/P2M/285223314782/UPSTOX,Investments
POS DEBIT 701517572530 UNIVERSITYFEES,Education
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 846063157033 PVRCINEMAS,Entertainment
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/714724131551/COURSERA,Education
